BPA ID,A16s Comment,Agrochemical Additions,Allo [mg/m3],Alpha Beta Car [mg/m3],Ammonium [μmol/L],Ammonium Nitrogen [mg/Kg],Anth [mg/m3],Asta [mg/m3],B16s Comment,Beta Beta Car [mg/m3],Beta Epi Car [mg/m3],Biomass [mg/m3],Boron Hot Cacl2 [mg/Kg],Bottom Depth [m],But Fuco [mg/m3],Cantha [mg/m3],Chl A Allomer,Chl A Epi,Chlf Ctd,Chlorophyll A [μg/L],Clay [% (<2 µm)],Coastal,Conductivity [dS/m],Course Sand [% (200-2000 µm)],Cphl A [mg/m3],Cphl B [mg/m3],Cphl C1 [mg/m3],Cphl C1c2 [mg/m3],Cphl C2 [mg/m3],Cphl C3 [mg/m3],Cphlide A [mg/m3],Crop Rotation 1yr Since Present,Crop Rotation 2yrs Since Present,Crop Rotation 3yrs Since Present,Crop Rotation 4yrs Since Present,Crop Rotation 5yrs Since Present,Ctd Salinity,Date Sampled,Date Since Change In Land Use,Day,Density [Kg/m^3],Deployment,Depth [m],"Depth Salt Water [m, lat=-27.2]",Diadchr [mg/m3],Diadino [mg/m3],Diato [mg/m3],Dino [mg/m3],Dna Extraction Date,Dtpa Copper [mg/Kg],Dtpa Iron [mg/Kg],Dtpa Manganese [mg/Kg],Dtpa Zinc [mg/Kg],Dv Cphl A [mg/m3],Dv Cphl A And Cphl A [mg/m3],Dv Cphl B [mg/m3],Dv Cphl B And Cphl B [mg/m3],E18s Comment,Echin [mg/m3],Elevation,Exc Aluminium [meq/100g],Exc Calcium [meq/100g],Exc Magnesium [meq/100g],Exc Potassium [meq/100g],Exc Sodium [meq/100g],Extraction Number,Extreme Events,Fine Sand,Fire History,Fire Intensity If Known,Flooding,Fluorescence [AU],Fluorescence Wetlab [mg/m^3],Fuco [mg/m3],Geo Loc,Gravel [% (> 2.0 mm)],Gyro [mg/m3],Hex Fuco [mg/m3],Host Abundance [individuals per m2],Host Species,Host State,Inorganic Fraction [mg/L],Keto Hex Fuco [mg/m3],Latitude [°],Light Intensity [lux],Location Code,Location Description,Longitude [°],Lut [mg/m3],Lyco [mg/m3],Metagenome Comment,Mg Dvp [mg/m3],Microbial Abundance [cells per ml],Month,Neo [mg/m3],Nitrate Nitrite [μmol/L],Nitrate Nitrogen [mg/Kg],Nitrite,Notes,Nrs Location Code Voyage Code,Nrs Sample Code,Nrs Trip Code,Organic Carbon [%],Organic Fraction [mg/L],Organism,Oxygen,Oxygen Ctd [ml/L],Oxygen Lab [μmol/L],Oxygen Ml L Ctd [ml/L],Oxygen Umol Kg Ctd [μmol/kg],Oxygen Umol L Lab [μmol/L],Per Fine Sediment [%],Per Total Carbon [%],Per Total Inorganc Carbon [%],Per Total Nitrogen [%],Per Total Phosphorous [%],Perid [mg/m3],Pressure Bottle,Ph Level,Ph Level Cacl2 [pH],Ph Level H2o [pH],Phide A [mg/m3],Phosphate [μmol/L],Phosphorus Colwell [mg/Kg],Phytin A [mg/m3],Phytin B [mg/m3],Potassium Colwell [mg/Kg],Pras [mg/m3],Pressure,Pulse Amplitude Modulated Fluorometer Measurement,Pulse Amplitude Modulated Pam Fluorometer Measurement,Pyrophide A [mg/m3],Pyrophytin A [mg/m3],Rp,Salinity [PSU],Salinity Ctd [PSU],Salinity Lab,Sample Code,Sample Site,Sand [%],Secchi Depth [m],Sedimentation Rate [g /(cm2 x yr)],Silicate,Silt [% (2-20 µm)],Slope [%],Slope Aspect,Soil Moisture [%],Stratification,Sulphur [mg/Kg],Tax,Temp From Ctd File,"Temperature [ITS-90, deg C]",Texture,Time,Time Sampled,Total Alkalinity [μmol/kg],Total Co2 [μmol/L],Transmittance [%],Tss [mg/L],"Turbidity [Upoly 0, WET Labs FLNTURT]",Turbidity Ctd [Nephelometric Turbidity Units],Vegetation Dom Grasses [%],Vegetation Dom Shrubs [%],Vegetation Dom Trees [%],Vegetation Total Cover [%],Viola [mg/m3],Year,Zea [mg/m3],Zm Sigmat,Zm Delta Sigmat,Australian Soil Classification,Broad Land Use,Color,Detailed Land Use,Fao Soil Classification,General Ecological Zone,Horizon Classification,Immediate Previous Land Use,Profile Position,Environment,Sample Type,Soil Sample Storage Method,Tillage,Vegetation Type
102.100.100/36453,,,,,,,,,,,,,,,,,,,,,,MI_Geoffrey Bay,,,,,,,,,,,,,,,,2016-03-30,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Australia: Queensland: Magnetic Island:Geoffrey Bay,,,,,Acropora tenuis,,,,-19.154109,,,,146.6426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geoffrey Bay,,,,,,,,,,,,,,,,11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,Marine,Coral,,,
102.100.100/36454,,,,,,,,,,,,,,,,,,,,,,MI_Geoffrey Bay,,,,,,,,,,,,,,,,2016-04-22,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Australia: Queensland: Magnetic Island:Geoffrey Bay,,,,,Acropora tenuis,,,,-19.154109,,,,146.6426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geoffrey Bay,,,,,,,,,,,,,,,,11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,Marine,Coral,,,
102.100.100/36455,,,,,,,,,,,,,,,,,,,,,,MI_Geoffrey Bay,,,,,,,,,,,,,,,,2016-04-22,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Australia: Queensland: Magnetic Island:Geoffrey Bay,,,,,Acropora tenuis,,,,-19.154109,,,,146.6426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geoffrey Bay,,,,,,,,,,,,,,,,11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,Marine,Coral,,,
102.100.100/36482,,,,,,,,,,,,,,,,,,,,,,MI_Geoffrey Bay,,,,,,,,,,,,,,,,2016-12-21,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Australia: Queensland: Magnetic Island:Geoffrey Bay,,,,,Acropora tenuis,,,,-19.154109,,,,146.6426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geoffrey Bay,,,,,,,,,,,,,,,,11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,Marine,Coral,,,
102.100.100/36496,,,,,,,,,,,,,,,,,,,,,,MI_Geoffrey Bay,,,,,,,,,,,,,,,,2016-04-22,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Australia: Queensland: Magnetic Island:Geoffrey Bay,,,,,Acropora millepora,,,,-19.154109,,,,146.6426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geoffrey Bay,,,,,,,,,,,,,,,,11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,Marine,Coral,,,
102.100.100/36498,,,,,,,,,,,,,,,,,,,,,,MI_Geoffrey Bay,,,,,,,,,,,,,,,,2016-04-22,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Australia: Queensland: Magnetic Island:Geoffrey Bay,,,,,Acropora millepora,,,,-19.154109,,,,146.6426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geoffrey Bay,,,,,,,,,,,,,,,,11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,Marine,Coral,,,
102.100.100/36506,,,,,,,,,,,,,,,,,,,,,,MI_Geoffrey Bay,,,,,,,,,,,,,,,,2016-06-08,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Australia: Queensland: Magnetic Island:Geoffrey Bay,,,,,Acropora millepora,,,,-19.154109,,,,146.6426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geoffrey Bay,,,,,,,,,,,,,,,,11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,Marine,Coral,,,
102.100.100/36507,,,,,,,,,,,,,,,,,,,,,,MI_Geoffrey Bay,,,,,,,,,,,,,,,,2016-06-08,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Australia: Queensland: Magnetic Island:Geoffrey Bay,,,,,Acropora millepora,,,,-19.154109,,,,146.6426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geoffrey Bay,,,,,,,,,,,,,,,,11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,Marine,Coral,,,
102.100.100/36511,,,,,,,,,,,,,,,,,,,,,,MI_Geoffrey Bay,,,,,,,,,,,,,,,,2016-10-10,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Australia: Queensland: Magnetic Island:Geoffrey Bay,,,,,Acropora millepora,,,,-19.154109,,,,146.6426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geoffrey Bay,,,,,,,,,,,,,,,,11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,Marine,Coral,,,
102.100.100/36520,,,,,,,,,,,,,,,,,,,,,,MI_Geoffrey Bay,,,,,,,,,,,,,,,,2016-11-22,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Australia: Queensland: Magnetic Island:Geoffrey Bay,,,,,Acropora millepora,,,,-19.154109,,,,146.6426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geoffrey Bay,,,,,,,,,,,,,,,,11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,Marine,Coral,,,
102.100.100/36521,,,,,,,,,,,,,,,,,,,,,,MI_Geoffrey Bay,,,,,,,,,,,,,,,,2016-11-22,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Australia: Queensland: Magnetic Island:Geoffrey Bay,,,,,Acropora millepora,,,,-19.154109,,,,146.6426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geoffrey Bay,,,,,,,,,,,,,,,,11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,Marine,Coral,,,
102.100.100/36526,,,,,,,,,,,,,,,,,,,,,,MI_Geoffrey Bay,,,,,,,,,,,,,,,,2017-02-20,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Australia: Queensland: Magnetic Island:Geoffrey Bay,,,,,Acropora millepora,,,,-19.154109,,,,146.6426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geoffrey Bay,,,,,,,,,,,,,,,,11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,Marine,Coral,,,
102.100.100/36527,,,,,,,,,,,,,,,,,,,,,,MI_Geoffrey Bay,,,,,,,,,,,,,,,,2017-02-20,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Australia: Queensland: Magnetic Island:Geoffrey Bay,,,,,Acropora millepora,,,,-19.154109,,,,146.6426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geoffrey Bay,,,,,,,,,,,,,,,,11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,Marine,Coral,,,
102.100.100/36597,,,,,,,,,,,,,,,,,,,,,,MI_Geoffrey Bay,,,,,,,,,,,,,,,,2016-08-01,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Australia: Queensland: Magnetic Island:Geoffrey Bay,,,,,Acropora millepora mucus,,,,-19.154109,,,,146.6426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geoffrey Bay,,,,,,,,,,,,,,,,11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,Marine,Coral,,,
102.100.100/57788,,,,,,,,,,,,,,,,,,,,,,TP_070616_2,,,,,,,,,,,,,,,,2016-06-07,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Australia:NSW,,,,,,,,,-34.010214,,,,151.125875,,,,,,,,,,,,,,,,,,,,,,,,10.528729,,,,,,,,,,,,,,,,,,,,,,,,,,,Taren Point,,,,,,,,,,,,,,,,12:00:00,,,,,,,,,,,,,,,,,,,,,,,,,Marine,Sediment,,,
102.100.100/57830,,,,,,,,,,,,,,,,,,,,,,TP_080416_2,,,,,,,,,,,,,,,,2016-04-08,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Australia:NSW,,,,,,,,,-34.010214,,,,151.125875,,,,,,,,,,,,,,,,,,,,,,,,2.105435,,,,,,,,,,,,,,,,,,,,,,,,,,,Taren Point,,,,,,,,,,,,,,,,12:00:00,,,,,,,,,,,,,,,,,,,,,,,,,Marine,Sediment,,,
